id,fetch_date,data_date,query,page,device,country,clicks,impressions,ctr,position,dimension_type,created_at
175802,2026-07-27,2026-06-27,,,,arg,0,1,0.0,3.0,by_country,2026-07-27 13:04:38
175803,2026-07-27,2026-06-27,,,,can,0,3,0.0,44.333333333333336,by_country,2026-07-27 13:04:38
175804,2026-07-27,2026-06-27,,,,chn,0,1,0.0,9.0,by_country,2026-07-27 13:04:38
175805,2026-07-27,2026-06-27,,,,cze,0,1,0.0,5.0,by_country,2026-07-27 13:04:38
175806,2026-07-27,2026-06-27,,,,dza,0,1,0.0,25.0,by_country,2026-07-27 13:04:38
175807,2026-07-27,2026-06-27,,,,esp,0,1,0.0,46.0,by_country,2026-07-27 13:04:38
175808,2026-07-27,2026-06-27,,,,fra,0,1,0.0,5.0,by_country,2026-07-27 13:04:38
175809,2026-07-27,2026-06-27,,,,hkg,0,2,0.0,37.0,by_country,2026-07-27 13:04:38
175810,2026-07-27,2026-06-27,,,,idn,0,2,0.0,41.5,by_country,2026-07-27 13:04:38
175811,2026-07-27,2026-06-27,,,,ind,0,7,0.0,1.7142857142857144,by_country,2026-07-27 13:04:38
175812,2026-07-27,2026-06-27,,,,jpn,0,1,0.0,6.0,by_country,2026-07-27 13:04:38
175813,2026-07-27,2026-06-27,,,,kaz,0,1,0.0,1.0,by_country,2026-07-27 13:04:38
175814,2026-07-27,2026-06-27,,,,sgp,0,8,0.0,2.0,by_country,2026-07-27 13:04:38
175815,2026-07-27,2026-06-27,,,,usa,0,22,0.0,21.90909090909091,by_country,2026-07-27 13:04:38
175816,2026-07-27,2026-06-27,,,,vnm,0,9,0.0,1.0,by_country,2026-07-27 13:04:38
174448,2026-07-27,2026-05-28,,,,hkg,4,105,0.0380952380952381,52.72380952380952,by_country,2026-07-27 13:04:26
174449,2026-07-27,2026-05-28,,,,ind,1,4,0.25,17.0,by_country,2026-07-27 13:04:26
174450,2026-07-27,2026-05-28,,,,vnm,1,19,0.05263157894736842,15.789473684210526,by_country,2026-07-27 13:04:26
174451,2026-07-27,2026-05-28,,,,are,0,1,0.0,13.0,by_country,2026-07-27 13:04:26
174452,2026-07-27,2026-05-28,,,,arg,0,4,0.0,61.75,by_country,2026-07-27 13:04:26
174453,2026-07-27,2026-05-28,,,,aus,0,9,0.0,67.88888888888889,by_country,2026-07-27 13:04:26
174454,2026-07-27,2026-05-28,,,,aze,0,1,0.0,81.0,by_country,2026-07-27 13:04:26
174455,2026-07-27,2026-05-28,,,,bgd,0,3,0.0,57.333333333333336,by_country,2026-07-27 13:04:26
174456,2026-07-27,2026-05-28,,,,bra,0,10,0.0,53.7,by_country,2026-07-27 13:04:26
174457,2026-07-27,2026-05-28,,,,can,0,17,0.0,64.29411764705883,by_country,2026-07-27 13:04:26
174458,2026-07-27,2026-05-28,,,,chn,0,34,0.0,13.882352941176471,by_country,2026-07-27 13:04:26
174459,2026-07-27,2026-05-28,,,,col,0,3,0.0,42.0,by_country,2026-07-27 13:04:26
174460,2026-07-27,2026-05-28,,,,deu,0,1,0.0,85.0,by_country,2026-07-27 13:04:26
174461,2026-07-27,2026-05-28,,,,dom,0,1,0.0,72.0,by_country,2026-07-27 13:04:26
174462,2026-07-27,2026-05-28,,,,dza,0,1,0.0,2.0,by_country,2026-07-27 13:04:26
174463,2026-07-27,2026-05-28,,,,ecu,0,2,0.0,25.0,by_country,2026-07-27 13:04:26
174464,2026-07-27,2026-05-28,,,,eth,0,2,0.0,45.5,by_country,2026-07-27 13:04:26
174465,2026-07-27,2026-05-28,,,,fra,0,1,0.0,28.0,by_country,2026-07-27 13:04:26
174466,2026-07-27,2026-05-28,,,,gbr,0,1,0.0,78.0,by_country,2026-07-27 13:04:26
174467,2026-07-27,2026-05-28,,,,gnb,0,1,0.0,15.0,by_country,2026-07-27 13:04:26
174468,2026-07-27,2026-05-28,,,,idn,0,1,0.0,9.0,by_country,2026-07-27 13:04:26
174469,2026-07-27,2026-05-28,,,,irq,0,1,0.0,40.0,by_country,2026-07-27 13:04:26
174470,2026-07-27,2026-05-28,,,,isr,0,4,0.0,42.5,by_country,2026-07-27 13:04:26
174471,2026-07-27,2026-05-28,,,,ita,0,2,0.0,10.0,by_country,2026-07-27 13:04:26
174472,2026-07-27,2026-05-28,,,,jpn,0,21,0.0,62.285714285714285,by_country,2026-07-27 13:04:26
174473,2026-07-27,2026-05-28,,,,kaz,0,3,0.0,69.33333333333333,by_country,2026-07-27 13:04:26
174474,2026-07-27,2026-05-28,,,,khm,0,2,0.0,6.0,by_country,2026-07-27 13:04:26
174475,2026-07-27,2026-05-28,,,,kor,0,3,0.0,7.333333333333333,by_country,2026-07-27 13:04:26
174476,2026-07-27,2026-05-28,,,,kwt,0,3,0.0,71.33333333333333,by_country,2026-07-27 13:04:26
174477,2026-07-27,2026-05-28,,,,lso,0,1,0.0,84.0,by_country,2026-07-27 13:04:26
174478,2026-07-27,2026-05-28,,,,mar,0,5,0.0,64.6,by_country,2026-07-27 13:04:26
174479,2026-07-27,2026-05-28,,,,mex,0,6,0.0,77.33333333333333,by_country,2026-07-27 13:04:26
174480,2026-07-27,2026-05-28,,,,mys,0,3,0.0,20.333333333333332,by_country,2026-07-27 13:04:26
174481,2026-07-27,2026-05-28,,,,nld,0,1,0.0,8.0,by_country,2026-07-27 13:04:26
174482,2026-07-27,2026-05-28,,,,omn,0,1,0.0,73.0,by_country,2026-07-27 13:04:26
174483,2026-07-27,2026-05-28,,,,pak,0,1,0.0,1.0,by_country,2026-07-27 13:04:26
174484,2026-07-27,2026-05-28,,,,pan,0,1,0.0,44.0,by_country,2026-07-27 13:04:26
174485,2026-07-27,2026-05-28,,,,per,0,1,0.0,66.0,by_country,2026-07-27 13:04:26
174486,2026-07-27,2026-05-28,,,,phl,0,3,0.0,12.666666666666666,by_country,2026-07-27 13:04:26
174487,2026-07-27,2026-05-28,,,,prt,0,1,0.0,9.0,by_country,2026-07-27 13:04:26
174488,2026-07-27,2026-05-28,,,,pry,0,1,0.0,69.0,by_country,2026-07-27 13:04:26
174489,2026-07-27,2026-05-28,,,,rus,0,4,0.0,38.0,by_country,2026-07-27 13:04:26
174490,2026-07-27,2026-05-28,,,,sau,0,3,0.0,47.333333333333336,by_country,2026-07-27 13:04:26
